                                                                                                                                                                                                                                                                                
{'loss': 7.244, 'grad_norm': 4.20703649520874, 'learning_rate': 1.9958132993004146e-07, 'epoch': 0.07}
{'loss': 7.262, 'grad_norm': 4.213907241821289, 'learning_rate': 1.9954719225730845e-07, 'epoch': 0.07}
{'loss': 7.2927, 'grad_norm': 4.138662815093994, 'learning_rate': 1.9951171997664956e-07, 'epoch': 0.07}
{'loss': 7.4505, 'grad_norm': 4.381431579589844, 'learning_rate': 1.9947491356363407e-07, 'epoch': 0.07}
{'loss': 7.0431, 'grad_norm': 4.138157844543457, 'learning_rate': 1.9943677351171773e-07, 'epoch': 0.08}
{'loss': 7.5555, 'grad_norm': 4.342986106872559, 'learning_rate': 1.99397300332236e-07, 'epoch': 0.08}
{'loss': 7.1521, 'grad_norm': 4.103044509887695, 'learning_rate': 1.9935649455439738e-07, 'epoch': 0.08}
{'loss': 6.9489, 'grad_norm': 4.01003885269165, 'learning_rate': 1.9931435672527622e-07, 'epoch': 0.08}
{'loss': 7.4418, 'grad_norm': 4.33161735534668, 'learning_rate': 1.9927088740980536e-07, 'epoch': 0.08}
{'loss': 7.4161, 'grad_norm': 4.403393268585205, 'learning_rate': 1.992260871907687e-07, 'epoch': 0.08}
{'loss': 7.2267, 'grad_norm': 4.205657958984375, 'learning_rate': 1.9917995666879311e-07, 'epoch': 0.08}
{'loss': 7.2596, 'grad_norm': 4.307860374450684, 'learning_rate': 1.991324964623407e-07, 'epoch': 0.08}
{'loss': 7.1222, 'grad_norm': 4.194213390350342, 'learning_rate': 1.9908370720770024e-07, 'epoch': 0.08}
{'loss': 7.1828, 'grad_norm': 4.158053398132324, 'learning_rate': 1.990335895589789e-07, 'epoch': 0.09}
{'loss': 6.876, 'grad_norm': 3.879340410232544, 'learning_rate': 1.9898214418809327e-07, 'epoch': 0.09}
{'loss': 7.1436, 'grad_norm': 4.06352424621582, 'learning_rate': 1.9892937178476042e-07, 'epoch': 0.09}
{'loss': 7.599, 'grad_norm': 4.476744651794434, 'learning_rate': 1.988752730564887e-07, 'epoch': 0.09}
{'loss': 7.2291, 'grad_norm': 4.259631633758545, 'learning_rate': 1.9881984872856817e-07, 'epoch': 0.09}
{'loss': 6.9228, 'grad_norm': 3.9305858612060547, 'learning_rate': 1.9876309954406097e-07, 'epoch': 0.09}
{'loss': 7.2379, 'grad_norm': 4.164163112640381, 'learning_rate': 1.9870502626379125e-07, 'epoch': 0.09}
{'loss': 7.0545, 'grad_norm': 4.114146709442139, 'learning_rate': 1.9864562966633517e-07, 'epoch': 0.09}
{'loss': 6.9675, 'grad_norm': 4.116764545440674, 'learning_rate': 1.9858491054801006e-07, 'epoch': 0.09}
