                                                                                                                                                                                                                                                                                     
{'loss': 0.6553, 'grad_norm': 1.3083180255042801, 'learning_rate': 2.16e-05, 'epoch': 0.07}
{'loss': 0.4679, 'grad_norm': 0.935452239231082, 'learning_rate': 2.2e-05, 'epoch': 0.07}
{'loss': 0.4647, 'grad_norm': 0.9895370453167593, 'learning_rate': 2.2400000000000002e-05, 'epoch': 0.07}
{'loss': 0.4161, 'grad_norm': 0.9086978853523943, 'learning_rate': 2.2800000000000002e-05, 'epoch': 0.07}
{'loss': 0.3201, 'grad_norm': 0.6352734953411439, 'learning_rate': 2.32e-05, 'epoch': 0.07}
{'loss': 0.3211, 'grad_norm': 0.7129372696773769, 'learning_rate': 2.3599999999999998e-05, 'epoch': 0.07}
{'loss': 0.332, 'grad_norm': 0.5170014312288033, 'learning_rate': 2.4e-05, 'epoch': 0.07}
{'loss': 0.2271, 'grad_norm': 0.5495107718464649, 'learning_rate': 2.44e-05, 'epoch': 0.07}
{'loss': 0.2535, 'grad_norm': 0.5445055782320916, 'learning_rate': 2.48e-05, 'epoch': 0.08}
{'loss': 0.4508, 'grad_norm': 0.7581094259843815, 'learning_rate': 2.52e-05, 'epoch': 0.08}
{'loss': 0.2865, 'grad_norm': 0.4831766368865336, 'learning_rate': 2.5600000000000002e-05, 'epoch': 0.08}
{'loss': 0.3126, 'grad_norm': 0.536726371249705, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.08}
{'loss': 0.3958, 'grad_norm': 0.5901516230060219, 'learning_rate': 2.64e-05, 'epoch': 0.08}
{'loss': 0.3752, 'grad_norm': 0.5747333720349156, 'learning_rate': 2.68e-05, 'epoch': 0.08}
{'loss': 0.3247, 'grad_norm': 0.5446688171919555, 'learning_rate': 2.72e-05, 'epoch': 0.08}
{'loss': 0.336, 'grad_norm': 0.7481828223155053, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.08}
{'loss': 0.3304, 'grad_norm': 0.5388365021625066, 'learning_rate': 2.8e-05, 'epoch': 0.09}
{'loss': 0.3046, 'grad_norm': 0.5094445190352982, 'learning_rate': 2.84e-05, 'epoch': 0.09}
{'loss': 0.3445, 'grad_norm': 0.5818301404645333, 'learning_rate': 2.88e-05, 'epoch': 0.09}
{'loss': 0.3344, 'grad_norm': 0.5619394795098027, 'learning_rate': 2.92e-05, 'epoch': 0.09}
{'loss': 0.3743, 'grad_norm': 0.6545682923102908, 'learning_rate': 2.96e-05, 'epoch': 0.09}
{'loss': 0.1346, 'grad_norm': 0.37362394154632944, 'learning_rate': 3e-05, 'epoch': 0.09}
{'loss': 0.179, 'grad_norm': 0.4209286518043309, 'learning_rate': 2.9999987308098956e-05, 'epoch': 0.09}
{'loss': 0.3396, 'grad_norm': 0.6592422180046594, 'learning_rate': 2.99999492324173e-05, 'epoch': 0.09}
{'loss': 0.1938, 'grad_norm': 0.4363986920517838, 'learning_rate': 2.9999885773019465e-05, 'epoch': 0.1}
{'loss': 0.2772, 'grad_norm': 0.4583091566336282, 'learning_rate': 2.9999796930012848e-05, 'epoch': 0.1}
{'loss': 0.2911, 'grad_norm': 0.6333563411816927, 'learning_rate': 2.9999682703547783e-05, 'epoch': 0.1}
{'loss': 0.2794, 'grad_norm': 0.4559714613755568, 'learning_rate': 2.9999543093817573e-05, 'epoch': 0.1}
{'loss': 0.2432, 'grad_norm': 0.42323716243246523, 'learning_rate': 2.9999378101058477e-05, 'epoch': 0.1}
{'loss': 0.3887, 'grad_norm': 0.45766106964126707, 'learning_rate': 2.9999187725549707e-05, 'epoch': 0.1}
{'loss': 0.2639, 'grad_norm': 0.3687600613824881, 'learning_rate': 2.9998971967613416e-05, 'epoch': 0.1}
{'loss': 0.2379, 'grad_norm': 0.49912071011439485, 'learning_rate': 2.999873082761473e-05, 'epoch': 0.1}
{'loss': 0.1492, 'grad_norm': 0.45409708727211373, 'learning_rate': 2.9998464305961717e-05, 'epoch': 0.1}
{'loss': 0.4406, 'grad_norm': 0.5314427074568547, 'learning_rate': 2.9998172403105396e-05, 'epoch': 0.11}
{'loss': 0.3482, 'grad_norm': 0.4993191714657375, 'learning_rate': 2.9997855119539747e-05, 'epoch': 0.11}
{'loss': 0.2169, 'grad_norm': 0.4260384566850479, 'learning_rate': 2.9997512455801685e-05, 'epoch': 0.11}
{'loss': 0.1399, 'grad_norm': 0.49745375430634764, 'learning_rate': 2.9997144412471088e-05, 'epoch': 0.11}
{'loss': 0.2403, 'grad_norm': 0.6025295261253681, 'learning_rate': 2.999675099017079e-05, 'epoch': 0.11}
{'loss': 0.2303, 'grad_norm': 0.5628557157953936, 'learning_rate': 2.9996332189566543e-05, 'epoch': 0.11}
{'loss': 0.1988, 'grad_norm': 0.4158104895663088, 'learning_rate': 2.9995888011367073e-05, 'epoch': 0.11}
{'loss': 0.2298, 'grad_norm': 0.32841398746615835, 'learning_rate': 2.999541845632404e-05, 'epoch': 0.11}
{'loss': 0.2057, 'grad_norm': 0.4061795308250361, 'learning_rate': 2.9994923525232055e-05, 'epoch': 0.12}
{'loss': 0.2054, 'grad_norm': 0.39105880269187526, 'learning_rate': 2.9994403218928662e-05, 'epoch': 0.12}
{'loss': 0.2682, 'grad_norm': 0.4615453648749721, 'learning_rate': 2.999385753829435e-05, 'epoch': 0.12}
{'loss': 0.1805, 'grad_norm': 0.48658179800737245, 'learning_rate': 2.999328648425255e-05, 'epoch': 0.12}
{'loss': 0.2231, 'grad_norm': 0.4617434371967822, 'learning_rate': 2.9992690057769633e-05, 'epoch': 0.12}
{'loss': 0.2208, 'grad_norm': 0.37094370039036195, 'learning_rate': 2.9992068259854905e-05, 'epoch': 0.12}
{'loss': 0.2997, 'grad_norm': 0.5901126800378633, 'learning_rate': 2.99914210915606e-05, 'epoch': 0.12}
{'loss': 0.3372, 'grad_norm': 0.4447508937426979, 'learning_rate': 2.999074855398189e-05, 'epoch': 0.12}
{'loss': 0.2124, 'grad_norm': 0.47628025533774193, 'learning_rate': 2.999005064825689e-05, 'epoch': 0.13}
