                                                                                                                                                                                                                                                                                     
{'loss': 0.1831, 'grad_norm': 0.37687963200199387, 'learning_rate': 2.9801155860560235e-05, 'epoch': 0.08}
{'loss': 0.1858, 'grad_norm': 0.4466879586798093, 'learning_rate': 2.978895087399522e-05, 'epoch': 0.08}
{'loss': 0.3409, 'grad_norm': 0.5102524307294573, 'learning_rate': 2.977638504134558e-05, 'epoch': 0.09}
{'loss': 0.225, 'grad_norm': 0.4856996017676216, 'learning_rate': 2.9763458669213954e-05, 'epoch': 0.09}
{'loss': 0.3224, 'grad_norm': 0.48973187343909896, 'learning_rate': 2.975017207300005e-05, 'epoch': 0.09}
{'loss': 0.1974, 'grad_norm': 0.4350788291542124, 'learning_rate': 2.9736525576892945e-05, 'epoch': 0.09}
{'loss': 0.2328, 'grad_norm': 0.39011706667443236, 'learning_rate': 2.9722519513863153e-05, 'epoch': 0.09}
{'loss': 0.2334, 'grad_norm': 0.3643333052802849, 'learning_rate': 2.9708154225654526e-05, 'epoch': 0.09}
{'loss': 0.2599, 'grad_norm': 0.47218317932687837, 'learning_rate': 2.9693430062775904e-05, 'epoch': 0.09}
{'loss': 0.2444, 'grad_norm': 0.36407261258573126, 'learning_rate': 2.967834738449256e-05, 'epoch': 0.1}
{'loss': 0.2203, 'grad_norm': 0.4856879851392657, 'learning_rate': 2.9662906558817447e-05, 'epoch': 0.1}
{'loss': 0.2411, 'grad_norm': 0.38918048246601616, 'learning_rate': 2.9647107962502205e-05, 'epoch': 0.1}
{'loss': 0.1124, 'grad_norm': 0.3865496426172799, 'learning_rate': 2.9630951981027966e-05, 'epoch': 0.1}
{'loss': 0.2209, 'grad_norm': 0.4355156873862213, 'learning_rate': 2.9614439008595967e-05, 'epoch': 0.1}
{'loss': 0.1898, 'grad_norm': 0.4301594761284575, 'learning_rate': 2.9597569448117917e-05, 'epoch': 0.1}
{'loss': 0.2524, 'grad_norm': 0.43854617650206695, 'learning_rate': 2.9580343711206162e-05, 'epoch': 0.11}
{'loss': 0.2055, 'grad_norm': 0.34098176603429475, 'learning_rate': 2.9562762218163663e-05, 'epoch': 0.11}
{'loss': 0.1693, 'grad_norm': 0.3884790406852241, 'learning_rate': 2.9544825397973708e-05, 'epoch': 0.11}
{'loss': 0.1946, 'grad_norm': 0.3960133668049036, 'learning_rate': 2.9526533688289482e-05, 'epoch': 0.11}
{'loss': 0.1484, 'grad_norm': 0.33126328287699003, 'learning_rate': 2.9507887535423357e-05, 'epoch': 0.11}
{'loss': 0.1053, 'grad_norm': 0.33366302392971514, 'learning_rate': 2.9488887394336025e-05, 'epoch': 0.11}
{'loss': 0.2801, 'grad_norm': 0.5773945513204761, 'learning_rate': 2.946953372862538e-05, 'epoch': 0.11}
{'loss': 0.2732, 'grad_norm': 0.4512090671822258, 'learning_rate': 2.9449827010515217e-05, 'epoch': 0.12}
{'loss': 0.1743, 'grad_norm': 0.38134931055740734, 'learning_rate': 2.9429767720843707e-05, 'epoch': 0.12}
