                                                                                                                                                                                                                                                                                                                                                                                                                   
{'loss': 0.1451, 'grad_norm': 0.3163763804425984, 'learning_rate': 9.975032183753958e-05, 'epoch': 0.06}
{'loss': 0.1374, 'grad_norm': 0.3397181474376598, 'learning_rate': 9.973076406487496e-05, 'epoch': 0.06}
{'loss': 0.2243, 'grad_norm': 0.5205826998690574, 'learning_rate': 9.971047096569093e-05, 'epoch': 0.07}
{'loss': 0.3664, 'grad_norm': 0.4918620888743622, 'learning_rate': 9.968944284004431e-05, 'epoch': 0.07}
{'loss': 0.1451, 'grad_norm': 0.3173036328764061, 'learning_rate': 9.966767999886012e-05, 'epoch': 0.07}
{'loss': 0.1033, 'grad_norm': 0.2874434196739674, 'learning_rate': 9.964518276392698e-05, 'epoch': 0.07}
{'loss': 0.1443, 'grad_norm': 0.4638058043028239, 'learning_rate': 9.962195146789236e-05, 'epoch': 0.07}
{'loss': 0.1205, 'grad_norm': 0.42757945862606633, 'learning_rate': 9.959798645425769e-05, 'epoch': 0.07}
{'loss': 0.2622, 'grad_norm': 0.40188588539626363, 'learning_rate': 9.957328807737327e-05, 'epoch': 0.07}
{'loss': 0.1282, 'grad_norm': 0.3622535067266622, 'learning_rate': 9.954785670243297e-05, 'epoch': 0.07}
{'loss': 0.1178, 'grad_norm': 0.33156805665216116, 'learning_rate': 9.95216927054689e-05, 'epoch': 0.07}
{'loss': 0.3717, 'grad_norm': 0.4828556586686197, 'learning_rate': 9.949479647334583e-05, 'epoch': 0.08}
{'loss': 0.0798, 'grad_norm': 0.19993862635901566, 'learning_rate': 9.946716840375551e-05, 'epoch': 0.08}
{'loss': 0.2309, 'grad_norm': 0.3883183914395724, 'learning_rate': 9.94388089052107e-05, 'epoch': 0.08}
{'loss': 0.2569, 'grad_norm': 0.4235029897034752, 'learning_rate': 9.940971839703916e-05, 'epoch': 0.08}
{'loss': 0.1856, 'grad_norm': 0.2874112578653992, 'learning_rate': 9.937989730937752e-05, 'epoch': 0.08}
{'loss': 0.0975, 'grad_norm': 0.28478978219057394, 'learning_rate': 9.934934608316484e-05, 'epoch': 0.08}
{'loss': 0.1034, 'grad_norm': 0.26431616067832037, 'learning_rate': 9.931806517013612e-05, 'epoch': 0.08}
{'loss': 0.2168, 'grad_norm': 0.5695069143853797, 'learning_rate': 9.928605503281562e-05, 'epoch': 0.08}
{'loss': 0.2564, 'grad_norm': 0.4698097338715928, 'learning_rate': 9.925331614451006e-05, 'epoch': 0.09}
