                                                                                                                                                                                                                                                                                
{'loss': 0.6977, 'grad_norm': 0.8655386567115784, 'learning_rate': 9.979066496502074e-05, 'epoch': 0.06}
{'loss': 0.8554, 'grad_norm': 0.7585092782974243, 'learning_rate': 9.977359612865423e-05, 'epoch': 0.06}
{'loss': 1.029, 'grad_norm': 0.8905196785926819, 'learning_rate': 9.97558599883248e-05, 'epoch': 0.06}
{'loss': 1.2639, 'grad_norm': 1.0130259990692139, 'learning_rate': 9.973745678181705e-05, 'epoch': 0.06}
{'loss': 1.1643, 'grad_norm': 0.9706577062606812, 'learning_rate': 9.971838675585888e-05, 'epoch': 0.06}
{'loss': 0.9131, 'grad_norm': 0.7326801419258118, 'learning_rate': 9.9698650166118e-05, 'epoch': 0.07}
{'loss': 1.0482, 'grad_norm': 0.686289370059967, 'learning_rate': 9.96782472771987e-05, 'epoch': 0.07}
{'loss': 0.9246, 'grad_norm': 0.9760165214538574, 'learning_rate': 9.965717836263812e-05, 'epoch': 0.07}
{'loss': 0.9217, 'grad_norm': 0.702926754951477, 'learning_rate': 9.96354437049027e-05, 'epoch': 0.07}
{'loss': 0.8031, 'grad_norm': 0.795997679233551, 'learning_rate': 9.961304359538437e-05, 'epoch': 0.07}
{'loss': 0.9402, 'grad_norm': 0.8154183030128479, 'learning_rate': 9.958997833439657e-05, 'epoch': 0.07}
{'loss': 0.9202, 'grad_norm': 0.989697277545929, 'learning_rate': 9.956624823117036e-05, 'epoch': 0.07}
{'loss': 0.862, 'grad_norm': 0.8255133032798767, 'learning_rate': 9.954185360385013e-05, 'epoch': 0.07}
{'loss': 1.0373, 'grad_norm': 1.03731369972229, 'learning_rate': 9.951679477948947e-05, 'epoch': 0.07}
{'loss': 1.0279, 'grad_norm': 0.7638182640075684, 'learning_rate': 9.949107209404665e-05, 'epoch': 0.08}
{'loss': 0.9709, 'grad_norm': 0.6900351643562317, 'learning_rate': 9.946468589238021e-05, 'epoch': 0.08}
{'loss': 1.2628, 'grad_norm': 1.0478670597076416, 'learning_rate': 9.943763652824436e-05, 'epoch': 0.08}
{'loss': 0.9393, 'grad_norm': 1.0182991027832031, 'learning_rate': 9.940992436428409e-05, 'epoch': 0.08}
{'loss': 1.0072, 'grad_norm': 0.7959800362586975, 'learning_rate': 9.938154977203049e-05, 'epoch': 0.08}
{'loss': 1.0286, 'grad_norm': 1.1137220859527588, 'learning_rate': 9.935251313189564e-05, 'epoch': 0.08}
{'loss': 0.9758, 'grad_norm': 0.9104125499725342, 'learning_rate': 9.932281483316758e-05, 'epoch': 0.08}
{'loss': 0.9935, 'grad_norm': 1.3430720567703247, 'learning_rate': 9.929245527400503e-05, 'epoch': 0.08}
{'loss': 0.969, 'grad_norm': 1.1053318977355957, 'learning_rate': 9.926143486143214e-05, 'epoch': 0.08}
{'loss': 1.0813, 'grad_norm': 1.0467641353607178, 'learning_rate': 9.922975401133293e-05, 'epoch': 0.09}
{'loss': 0.8839, 'grad_norm': 1.1803394556045532, 'learning_rate': 9.919741314844577e-05, 'epoch': 0.09}
{'loss': 0.825, 'grad_norm': 1.1403539180755615, 'learning_rate': 9.916441270635772e-05, 'epoch': 0.09}
{'loss': 0.8712, 'grad_norm': 0.8839322328567505, 'learning_rate': 9.913075312749866e-05, 'epoch': 0.09}
{'loss': 0.7477, 'grad_norm': 0.9334335327148438, 'learning_rate': 9.909643486313533e-05, 'epoch': 0.09}
{'loss': 1.039, 'grad_norm': 0.8978067636489868, 'learning_rate': 9.90614583733654e-05, 'epoch': 0.09}
{'loss': 0.95, 'grad_norm': 1.048458218574524, 'learning_rate': 9.90258241271112e-05, 'epoch': 0.09}
{'loss': 0.8616, 'grad_norm': 0.742299497127533, 'learning_rate': 9.898953260211338e-05, 'epoch': 0.09}
{'loss': 0.9695, 'grad_norm': 0.8865010738372803, 'learning_rate': 9.895258428492475e-05, 'epoch': 0.09}
{'loss': 0.966, 'grad_norm': 1.1375987529754639, 'learning_rate': 9.891497967090344e-05, 'epoch': 0.1}
{'loss': 1.1217, 'grad_norm': 1.337867259979248, 'learning_rate': 9.887671926420648e-05, 'epoch': 0.1}
{'loss': 1.0989, 'grad_norm': 0.9207784533500671, 'learning_rate': 9.883780357778299e-05, 'epoch': 0.1}
{'loss': 0.9576, 'grad_norm': 1.1973804235458374, 'learning_rate': 9.879823313336722e-05, 'epoch': 0.1}
{'loss': 0.939, 'grad_norm': 0.979267418384552, 'learning_rate': 9.87580084614717e-05, 'epoch': 0.1}
